repository,pr_number,author,primary_reviewer,first_review_latency_hours,discussion_volume,loc_changed,prior_prs,acceptance_rate,formal_reviews,experience_category
supabase/supabase,42252,filipecabaco,coderabbitai,0.09,4,3,33,0.91,25,Core Reviewer
supabase/supabase,42249,Ellba,ChrisChinchilla,14.52,3,73,14,0.93,3,Reliable Author
supabase/supabase,42248,joshenlim,coderabbitai,0.14,5,168,682,0.96,696,Core Reviewer
supabase/supabase,42247,pamelachia,alaister,0.54,5,143,46,1.0,123,Core Reviewer
supabase/supabase,42245,jordienr,coderabbitai,1.11,7,1456,277,0.83,266,Core Reviewer
supabase/supabase,42242,joshenlim,alaister,1.93,3,15,682,0.96,696,Core Reviewer
supabase/supabase,42239,joshenlim,alaister,0.12,3,90,682,0.96,696,Core Reviewer
supabase/supabase,42238,alaister,coderabbitai,0.09,5,88,162,0.96,723,Core Reviewer
supabase/supabase,42237,Ellba,ChrisChinchilla,18.28,3,10,14,0.93,3,Reliable Author
supabase/supabase,42236,dnywh,dshukertjr,0.47,3,33,145,0.89,64,Core Reviewer
supabase/supabase,42232,shreekarshetty,ChrisChinchilla,3.19,3,1,1,1.0,0,Novice
supabase/supabase,42230,stylessh,coderabbitai,0.15,4,639,37,0.86,28,Core Reviewer
supabase/supabase,42228,supabase-supabase-autofixer,ivasilov,35.03,3,118,0,0.0,0,Novice
supabase/supabase,42227,mattrossman,coderabbitai,1.11,9,321,27,0.96,8,Core Reviewer
supabase/supabase,42226,stylessh,kemaldotearth,67.72,3,89,37,0.86,28,Core Reviewer
supabase/supabase,42221,saltcod,stylessh,1.04,3,8,169,0.84,298,Core Reviewer
supabase/supabase,42219,mattrossman,awaseem,4.37,3,12,27,0.96,8,Core Reviewer
supabase/supabase,42218,kemaldotearth,coderabbitai,0.09,7,55,98,0.91,96,Core Reviewer
supabase/supabase,42217,supa-sara,stylessh,3.27,4,1,1,1.0,0,Novice
supabase/supabase,42216,charislam,awaseem,0.73,3,60,366,0.92,846,Core Reviewer
supabase/supabase,42174,charislam,coderabbitai,0.08,5,70,366,0.92,846,Core Reviewer
supabase/supabase,42171,supabase-supabase-autofixer,alaister,0.24,3,104,0,0.0,0,Novice
supabase/supabase,42167,joshenlim,coderabbitai,89.08,6,205,682,0.96,696,Core Reviewer
supabase/supabase,42166,charislam,ChrisChinchilla,4.93,3,2,366,0.92,846,Core Reviewer
supabase/supabase,42165,supabase-supabase-autofixer,charislam,3.07,3,189677,0,0.0,0,Novice
supabase/supabase,42164,supabase-supabase-autofixer,charislam,0.63,3,104,0,0.0,0,Novice
supabase/supabase,42161,charislam,coderabbitai,0.13,8,171,366,0.92,846,Core Reviewer
supabase/supabase,42159,charislam,joshenlim,0.63,3,34,366,0.92,846,Core Reviewer
supabase/supabase,42157,joshenlim,alaister,3.14,3,8,682,0.96,696,Core Reviewer
supabase/supabase,42156,edgurgel,coderabbitai,0.14,4,1,18,1.0,9,Core Reviewer
supabase/supabase,42151,ChrisChinchilla,coderabbitai,0.17,6,16502,68,0.93,311,Core Reviewer
supabase/supabase,42150,pamelachia,alaister,0.72,4,21,46,1.0,123,Core Reviewer
supabase/supabase,42149,dnywh,coderabbitai,0.12,5,294,145,0.89,64,Core Reviewer
supabase/supabase,42141,kemaldotearth,coderabbitai,6.41,7,396,98,0.91,96,Core Reviewer
supabase/supabase,42134,supabase-supabase-autofixer,charislam,13.67,3,5,0,0.0,0,Novice
supabase/supabase,42132,peekknuf,coderabbitai,0.07,4,15,7,0.86,0,Reliable Author
supabase/supabase,42131,darkLord19,ChrisChinchilla,122.85,2,8,1,1.0,0,Novice
supabase/supabase,42129,Ellba,coderabbitai,0.05,8,60,14,0.93,3,Reliable Author
supabase/supabase,42124,Ellba,coderabbitai,0.07,4,8,14,0.93,3,Reliable Author
supabase/supabase,42123,seanoliver,coderabbitai,18.61,6,98,38,0.76,19,Core Reviewer
supabase/supabase,42122,mattrossman,coderabbitai,21.95,8,510,27,0.96,8,Core Reviewer
supabase/supabase,42121,mattrossman,Rodriguespn,23.12,8,124,27,0.96,8,Core Reviewer
supabase/supabase,42071,Rodriguespn,ChrisChinchilla,5.56,15,130,16,0.88,2,Reliable Author
supabase/supabase,42069,zakstal,awaseem,457.12,7,2,1,1.0,0,Novice
supabase/supabase,42063,kemaldotearth,coderabbitai,0.06,4,22,98,0.91,96,Core Reviewer
supabase/supabase,42061,dnywh,coderabbitai,0.29,5,121,145,0.89,64,Core Reviewer
supabase/supabase,42060,dnywh,coderabbitai,0.1,4,28,145,0.89,64,Core Reviewer
supabase/supabase,42059,joshenlim,alaister,25.65,3,238,682,0.96,696,Core Reviewer
supabase/supabase,42058,dnywh,coderabbitai,4.37,5,70,145,0.89,64,Core Reviewer
supabase/supabase,42057,joshenlim,alaister,0.31,4,16,682,0.96,696,Core Reviewer
supabase/supabase,42056,dnywh,coderabbitai,1.1,6,94,145,0.89,64,Core Reviewer
supabase/supabase,42054,ana1337x,coderabbitai,0.07,17,717,10,0.8,1,Reliable Author
supabase/supabase,42051,charislam,coderabbitai,0.22,7,604,366,0.92,846,Core Reviewer
supabase/supabase,42046,charislam,coderabbitai,0.07,7,107,366,0.92,846,Core Reviewer
supabase/supabase,42045,amirissaei-supabase,copilot-pull-request-reviewer,0.02,4,1,1,1.0,0,Novice
supabase/supabase,42044,charislam,coderabbitai,0.09,4,28,366,0.92,846,Core Reviewer
supabase/supabase,42043,awaseem,kemaldotearth,0.14,4,20,140,0.91,257,Core Reviewer
supabase/supabase,42042,joshenlim,coderabbitai,0.26,7,467,682,0.96,696,Core Reviewer
supabase/supabase,42039,ana1337x,haritabh17,0.84,3,1,10,0.8,1,Reliable Author
supabase/supabase,42036,joshenlim,awaseem,1.33,3,12,682,0.96,696,Core Reviewer
supabase/supabase,42032,singh-inder,aantti,51.41,3,3,10,0.7,0,Noisy Author
supabase/supabase,42030,CoolAssPuppy,coderabbitai,0.1,9,170,45,0.96,110,Core Reviewer
supabase/supabase,42029,kostasb,monicakh,0.37,3,11,4,1.0,0,Reliable Author
supabase/supabase,42028,7ttp,aantti,55.46,5,4,26,0.46,12,Core Reviewer
supabase/supabase,42027,jordienr,coderabbitai,0.1,4,14,277,0.83,266,Core Reviewer
supabase/supabase,42026,jordienr,coderabbitai,0.08,6,244,277,0.83,266,Core Reviewer
supabase/supabase,42025,jordienr,alaister,0.01,3,2,277,0.83,266,Core Reviewer
supabase/supabase,42022,dnywh,joshenlim,3.11,3,5,145,0.89,64,Core Reviewer
supabase/supabase,42021,SaxonF,coderabbitai,0.13,10,309,207,0.87,52,Core Reviewer
supabase/supabase,42019,dnywh,joshenlim,1.68,3,173,145,0.89,64,Core Reviewer
supabase/supabase,41994,awaseem,joshenlim,3.71,3,2,140,0.91,257,Core Reviewer
supabase/supabase,41993,awaseem,joshenlim,4.02,3,161,140,0.91,257,Core Reviewer
supabase/supabase,41992,charislam,coderabbitai,0.3,10,1996,366,0.92,846,Core Reviewer
