repository,pr_number,author,primary_reviewer,first_review_latency_hours,time_to_merge_hours,first_review_state,inline_comment_density,total_discussion_volume,loc_changed,prior_prs,acceptance_rate,formal_reviews,experience_category
freeCodeCamp/freeCodeCamp,65719,jeeva-004,huyenltnguyen,8.9,9.38,APPROVED,0.0,4,6,1,1.0,0,Novice
freeCodeCamp/freeCodeCamp,65718,anastasiiauk,Sembauke,0.72,0.72,APPROVED,0.0,1,105,74,0.96,28,Core Reviewer
freeCodeCamp/freeCodeCamp,65716,kiruthikadev-r,majestic-owl448,1.62,22.9,CHANGES_REQUESTED,0.0,3,3859,3,0.67,0,Noisy Author
freeCodeCamp/freeCodeCamp,65715,ojeytonwilliams,huyenltnguyen,9.64,11.81,APPROVED,0.0,1,30,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65713,TheGreatAdil,Sembauke,0.41,0.87,APPROVED,0.0,1,2,2,0.5,0,Noisy Author
freeCodeCamp/freeCodeCamp,65711,huyenltnguyen,nieldakarla,115.29,175.79,APPROVED,0.0,3,776,272,0.88,1490,Core Reviewer
freeCodeCamp/freeCodeCamp,65710,ahmaxed,huyenltnguyen,3.98,545.58,COMMENTED,0.005,9,403,68,0.91,93,Core Reviewer
freeCodeCamp/freeCodeCamp,65709,Dario-DC,huyenltnguyen,6.98,14.21,APPROVED,0.0,1,8,147,0.98,565,Core Reviewer
freeCodeCamp/freeCodeCamp,65708,Dario-DC,majestic-owl448,22.42,49.38,APPROVED,0.0,1,158,147,0.98,565,Core Reviewer
freeCodeCamp/freeCodeCamp,65707,ojeytonwilliams,Dario-DC,0.22,2.85,APPROVED,0.0,1,55,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65706,camperbot,huyenltnguyen,7.06,7.06,APPROVED,0.0,1,2,391,0.98,0,Reliable Author
freeCodeCamp/freeCodeCamp,65705,anastasiiauk,Sembauke,21.42,21.43,APPROVED,0.0,1,105,74,0.96,28,Core Reviewer
freeCodeCamp/freeCodeCamp,65704,anastasiiauk,Sembauke,19.43,22.96,COMMENTED,0.0476,2,105,74,0.96,28,Core Reviewer
freeCodeCamp/freeCodeCamp,65703,anastasiiauk,Sembauke,20.21,20.21,APPROVED,0.0,1,105,74,0.96,28,Core Reviewer
freeCodeCamp/freeCodeCamp,65701,ojeytonwilliams,majestic-owl448,0.06,0.47,APPROVED,0.0,1,2,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65700,Dario-DC,majestic-owl448,0.1,49.58,COMMENTED,0.0104,8,670,147,0.98,565,Core Reviewer
freeCodeCamp/freeCodeCamp,65698,ojeytonwilliams,raisedadead,0.44,0.47,APPROVED,0.0,1,2,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65695,ahmaxed,raisedadead,0.67,0.67,APPROVED,0.0,1,4,68,0.91,93,Core Reviewer
freeCodeCamp/freeCodeCamp,65694,ahmaxed,majestic-owl448,0.22,0.47,APPROVED,0.0,1,2,68,0.91,93,Core Reviewer
freeCodeCamp/freeCodeCamp,65687,moT01,majestic-owl448,14.4,19.46,COMMENTED,0.0012,2,5027,287,0.95,958,Core Reviewer
freeCodeCamp/freeCodeCamp,65686,Jeevankumar-s,majestic-owl448,13.29,13.3,APPROVED,0.0,1,92,74,0.88,16,Core Reviewer
freeCodeCamp/freeCodeCamp,65681,anastasiiauk,Sembauke,40.5,40.5,APPROVED,0.0,1,105,74,0.96,28,Core Reviewer
freeCodeCamp/freeCodeCamp,65680,ojeytonwilliams,huyenltnguyen,0.91,0.91,APPROVED,0.0,2,2,608,0.94,500,Core Reviewer
freeCodeCamp/freeCodeCamp,65679,ojeytonwilliams,raisedadead,3.8,235.68,APPROVED,0.0,2,255,608,0.94,500,Core Reviewer
